epoch,loss,val_loss,val_x_logits_loss,val_x_logits_mean_absolute_error,val_x_logits_mean_squared_error,val_x_logits_psnr,val_x_logits_sharpdiff,val_x_logits_ssim,val_x_logits_total_variation,val_x_logpdf_loss,val_z_latents_loss,x_logits_loss,x_logits_mean_absolute_error,x_logits_mean_squared_error,x_logits_psnr,x_logits_sharpdiff,x_logits_ssim,x_logits_total_variation,x_logpdf_loss,z_latents_loss
20,895.2347291870117,231.00666676330567,230.20769,0.041317586,0.015458733,18.200777,15.839954,-0.005320416,1859.0836,-0.9119263,1.560143,893.989,0.1517571,0.07585168,11.219539,4.3106556,-0.002279929,46987.266,-0.86067784,1.9105014
21,894.4500125122071,210.68363523864747,209.69524,0.038840722,0.0137856435,18.697615,15.86598,-0.003006771,1867.4352,-0.8580935,1.6922907,893.21594,0.15159689,0.07577728,11.22369,4.310641,-0.0022541916,46988.844,-0.8647151,1.8994386
22,893.5805578613281,201.3617729034424,200.25002,0.037485383,0.013073022,18.937754,15.959101,-0.0052836905,1799.9131,-0.81909156,1.7721233,892.38275,0.15149488,0.07572401,11.226563,4.310363,-0.0022042745,46993.723,-0.8738382,1.870388
23,895.7794296264649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,894.58777,0.15192498,0.07592999,11.215033,4.311112,-0.0023073012,46980.043,-0.8735448,1.8632799
0,1276.8428604736328,19295.606669921875,19293.455,0.19202565,0.18652,7.377682,12.172109,7.00391e-05,6158.6934,-1.331605,1.6335179,1276.4857,0.16264242,0.09290854,10.37543,4.2846394,-0.00042428545,47573.6,-1.3411783,1.6080467
1,1095.5118540649414,7333.067600097656,7331.429,0.16374148,0.15334328,8.248643,10.917863,4.9272556e-05,8987.553,-1.3934039,1.8047631,1095.01,0.1694973,0.08808758,10.589867,4.401523,-0.002534366,46090.68,-1.4071978,1.8322535
2,1052.7282579345704,19678.212614257813,19671.172,0.19558302,0.1909141,7.2707253,12.135691,2.4598432e-05,6187.82,-1.4404471,1.9632947,1051.9775,0.173674,0.08600607,10.685498,4.475987,-0.004129053,45152.156,-1.4454646,2.118506
3,1042.5366381835938,12031.375379882813,12027.457,0.16768199,0.1582742,8.109021,11.207533,6.873777e-05,8085.763,-1.4500675,2.1227124,1041.5948,0.17275377,0.08559819,10.704964,4.4707265,-0.004506663,45187.15,-1.4648169,2.321577
4,1035.4267205200194,6467.0713056640625,6464.753,0.16275041,0.1473073,8.435748,10.9691,0.00010603226,8717.413,-1.4967417,2.2543428,1034.3208,0.17172298,0.08529061,10.720084,4.4639163,-0.0047195475,45250.76,-1.4833624,2.4944782
5,1027.9688964233399,8594.457002441406,8591.624,0.19009905,0.17541537,7.640602,10.450526,0.00013455188,9996.632,-1.5245758,2.3538785,1026.708,0.17059574,0.08491864,10.738338,4.4555793,-0.004869009,45334.227,-1.4986745,2.6546798
